,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
1784,23418,NonResidential,Office,Downtown,1989,1.0,2,23472,0,23472,Office,20695.0,Other,1065.0,Retail Store,945.0,,154.6999969,1625308.625,0.0,864104.0,761205.0,Compliant,Not outlier,46.45,1.98,3,27,14.301208278789794
1785,23419,Nonresidential COS,Office,Greater duwamish,1973,1.0,2,21315,0,21315,Office,20424.0,Without,0.0,Without,0.0,34.0,227.6999969,2796425.0,0.0,820533.0,1975892.0,Compliant,Not outlier,110.66,5.19,1,43,14.843852373645804
1811,23846,NonResidential,Office,Downtown,1979,1.0,3,34030,0,34030,Office,34030.0,Without,0.0,Without,0.0,50.0,147.8999939,1748629.875,0.0,1530330.0,218300.0,Compliant,Not outlier,22.26,0.65,1,37,14.374343110679629
1817,23503,NonResidential,Restaurant,Southwest,1902,1.0,2,20398,0,20398,Restaurant/Bar,19232.0,Office,1166.0,Without,0.0,,835.7999878,9313513.0,0.0,3478554.0,5834959.0,Compliant,Not outlier,334.15,16.38,2,114,16.046976914277487
1818,23504,NonResidential,Distribution Center,Greater duwamish,1952,1.0,1,41308,0,41308,Distribution Center,41308.0,Without,0.0,Without,0.0,7.0,95.09999847,1642471.5,0.0,1054767.0,587704.0,Compliant,Not outlier,38.57,0.93,1,64,14.311712677592189
1839,23562,NonResidential,Mixed Use Property,Downtown,1913,1.0,3,43878,0,43878,Multifamily Housing,12000.0,Office,8262.0,Retail Store,6312.0,,73.5,769771.3125,0.0,769771.0,0.0,Compliant,Not outlier,5.37,0.12,4,103,13.553848752964349
1840,23566,NonResidential,Other,Magnolia / queen anne,1912,1.0,3,34976,0,34976,Entertainment,34976.0,Without,0.0,Without,0.0,,66.0,873711.125,0.0,665472.0,208239.0,Compliant,Not outlier,15.7,0.45,1,104,13.680505079408736
1861,23618,NonResidential,Warehouse,Magnolia / queen anne,1957,1.0,1,38255,0,38255,Warehouse,38255.0,Without,0.0,Without,0.0,12.0,49.0,985401.8125,0.0,401825.0,583577.0,Compliant,Not outlier,33.8,0.88,1,59,13.800804768444886
1862,23622,Campus,Other,Magnolia / queen anne,1955,23.0,1,260241,0,260241,Other,260241.0,Without,0.0,Without,0.0,,353.2000122,34012980.0,0.0,26894616.0,7118362.0,Compliant,Not outlier,565.55,2.17,1,61,17.342252774432716
1875,23671,NonResidential,Office,Lake union,1959,1.0,4,50333,18036,32297,Office,50333.0,Without,0.0,Without,0.0,88.0,99.90000153,1602084.375,0.0,1602084.0,0.0,Compliant,Not outlier,11.17,0.22,1,57,14.286816073762829
