,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
2490,25842,NonResidential,Warehouse,Greater duwamish,1960,1.0,1,25000,0,25000,Warehouse,24000.0,Office,1000.0,Without,0.0,,24.10000038,287132.5,0.0,143797.0,143335.0,Compliant,Not outlier,8.61,0.34,2,56,12.567699060677679
2491,25844,NonResidential,Other,Greater duwamish,1927,1.0,1,22622,0,22622,Manufacturing/Industrial Plant,23000.0,Without,0.0,Without,0.0,,64.0,774075.6875,0.0,315436.0,458640.0,Compliant,Not outlier,26.56,1.17,1,89,13.559424935258681
2512,25907,NonResidential,Other,Magnolia / queen anne,1961,1.0,3,22960,0,22960,Entertainment,22960.0,Without,0.0,Without,0.0,,153.0,2266983.0,0.0,542327.0,1724655.0,Compliant,Not outlier,95.38,4.15,1,55,14.633960430564327
2519,25935,NonResidential,Worship Facility,Ballard,1956,1.0,2,21562,0,21562,Worship Facility,21052.0,Education,400.0,Without,0.0,20.0,60.90000153,866806.0,0.0,189790.0,677016.0,Compliant,Not outlier,37.28,1.73,2,60,13.672570470632381
2521,25954,NonResidential,Other,Central,1959,1.0,1,25753,0,25753,Entertainment,25753.0,Without,0.0,Without,0.0,,75.0,1378130.25,0.0,231543.0,1146587.0,Compliant,Not outlier,62.51,2.43,1,57,14.136238247133901
2522,25955,NonResidential,Other,East,1928,1.0,3,71280,0,71280,Entertainment,71280.0,Without,0.0,Without,0.0,,556.0999756,22767828.0,0.0,7528486.0,15239341.0,Compliant,Not outlier,861.85,12.09,1,88,16.940859044820833
2523,25956,SPS-District K-12,Education,East,1925,1.0,3,38297,0,38297,Education,38297.0,Without,0.0,Without,0.0,85.0,84.69999695,1845150.625,0.0,624583.0,1220568.0,Error - Correct Default Data,Not outlier,69.18,1.81,1,91,14.428071471690831
2530,25992,NonResidential,Mixed Use Property,Downtown,2009,1.0,19,1206670,201857,1004813,Office,319361.0,Multifamily Housing,181047.0,Parking,177210.0,87.0,153.3999939,27684480.0,0.0,23343425.0,4341053.0,Compliant,Not outlier,393.29,0.33,4,7,17.136382525328475
2540,26017,NonResidential,Residence Hall,Magnolia / queen anne,1981,1.0,4,23513,2211,21302,Residence Hall,15200.0,Office,2600.0,Meeting Hall,1800.0,,176.5,1740568.25,0.0,924449.0,816119.0,Compliant,Not outlier,49.79,2.12,5,35,14.36972219833469
2547,26040,NonResidential,Self-Storage Facility,Delridge,1994,1.0,3,66610,0,66610,Self-Storage Facility,66720.0,Without,0.0,Without,0.0,,20.39999962,640377.0,0.0,329414.0,310963.0,Compliant,Not outlier,18.81,0.28,1,22,13.369812344406643
2548,26233,NonResidential,Other,Greater duwamish,1950,1.0,1,36000,0,36000,Other,34000.0,Office,1400.0,Without,0.0,,280.7000122,3646053.75,0.0,2922836.0,723217.0,Compliant,Not outlier,58.79,1.63,2,66,15.109155976295295
2559,26098,NonResidential,Education,Northwest,1938,1.0,2,23222,0,23222,Education,15006.0,Without,0.0,Without,0.0,62.0,114.6999969,1219863.125,0.0,210763.0,1009100.0,Compliant,Not outlier,55.06,2.37,1,78,14.014249217792425
2562,26115,NonResidential,Mixed Use Property,East,1924,1.0,2,24476,0,24476,Sport center,7501.0,Office,5872.0,Retail Store,5375.0,,211.1999969,2662054.25,0.0,1077101.0,1584953.0,Compliant,Not outlier,91.69,3.75,6,92,14.794608657143511
2564,26119,NonResidential,Retail Store,East,1910,1.0,2,24750,0,24750,Retail Store,19240.0,Office,2050.0,Hospital/Residential Care Facility,1250.0,,63.5,782343.8125,0.0,292118.0,490226.0,Compliant,Not outlier,28.07,1.13,3,106,13.57004958083461
2567,26125,NonResidential,Education,East,1904,1.0,3,60000,0,60000,Education,48783.0,Without,0.0,Without,0.0,52.0,143.8999939,3625407.5,0.0,1537012.0,2088395.0,Compliant,Not outlier,121.63,2.03,1,112,15.103477253746059
2568,26126,NonResidential,Other,East,1954,1.0,2,46560,0,46560,Entertainment,46560.0,Without,0.0,Without,0.0,,34.40000153,690557.6875,0.0,419713.0,270845.0,Compliant,Not outlier,17.31,0.37,1,62,13.445254792874781
2581,26150,SPS-District K-12,Education,Southwest,1964,1.0,2,39929,0,39929,Education,39929.0,Without,0.0,Without,0.0,82.0,103.4000015,1813718.0,0.0,1065111.0,748607.0,Error - Correct Default Data,Not outlier,47.18,1.18,1,52,14.410889440020071
2583,26154,NonResidential,Office,Magnolia / queen anne,1960,1.0,2,25481,0,25481,Office,25481.0,Without,0.0,Without,0.0,92.0,55.79999924,917100.3125,0.0,219291.0,697809.0,Compliant,Not outlier,38.59,1.51,1,56,13.728972137294987
2584,26157,NonResidential,Senior Care Community,Southeast,1967,1.0,1,141297,0,141297,Senior Care Community,141297.0,Without,0.0,Without,0.0,76.0,244.8999939,19423344.0,0.0,6797882.0,12625460.0,Compliant,Not outlier,717.93,5.08,1,49,16.781986199618665
2603,26218,NonResidential,Hotel,Northwest,1990,1.0,4,41704,8584,33120,Hotel,41704.0,Without,0.0,Without,0.0,73.0,97.5,1943899.25,0.0,969192.0,974707.0,Compliant,Not outlier,58.52,1.4,1,26,14.480206436527814
2606,26235,NonResidential,Warehouse,Greater duwamish,1941,1.0,2,22324,0,22324,Warehouse,21000.0,Without,0.0,Without,0.0,53.0,48.70000076,588856.125,0.0,193898.0,394958.0,Compliant,Not outlier,22.33,1.0,1,75,13.285937162845894
2607,26236,NonResidential,Other,Greater duwamish,1946,1.0,2,31360,0,31360,Entertainment,32000.0,Without,0.0,Without,0.0,,130.1999969,1725108.25,0.0,1126394.0,598714.0,Compliant,Not outlier,39.65,1.26,1,70,14.360800360101859
2614,26254,NonResidential,Office,East,1922,1.0,3,27600,0,27600,Office,13175.0,Retail Store,9175.0,Without,0.0,84.0,140.3000031,1072151.375,0.0,961739.0,110412.0,Compliant,Not outlier,12.57,0.46,2,94,13.885177818666358
2623,26289,NonResidential,Senior Care Community,Northwest,1961,1.0,2,55974,0,55974,Senior Care Community,56000.0,Without,0.0,Without,0.0,98.0,214.1999969,6135173.0,0.0,2657803.0,3477370.0,Compliant,Not outlier,203.21,3.63,1,55,15.629548834588574
2626,26319,SPS-District K-12,Education,Greater duwamish,1971,1.0,2,52901,0,52901,Education,52901.0,Without,0.0,Without,0.0,75.0,94.80000305,2240342.0,0.0,1273997.0,966345.0,Error - Correct Default Data,Not outlier,60.2,1.14,1,45,14.622139090748464
2628,26324,NonResidential,Senior Care Community,North,1954,1.0,1,22583,0,22583,Senior Care Community,22583.0,Without,0.0,Without,0.0,95.0,161.0,1981360.0,0.0,743706.0,1237654.0,Compliant,Not outlier,70.92,3.14,1,62,14.499294035571253
2636,26359,NonResidential,Warehouse,Northwest,1972,1.0,1,29400,0,29400,Warehouse,25000.0,Without,0.0,Without,0.0,69.0,28.60000038,227509.5,0.0,227509.0,0.0,Compliant,Not outlier,1.59,0.05,1,44,12.33494727474305
2637,26379,NonResidential,Hotel,Greater duwamish,1992,1.0,3,22452,0,22452,Hotel,22452.0,Without,0.0,Without,0.0,85.0,107.0,1244150.0,0.0,524385.0,719765.0,Compliant,Not outlier,41.88,1.87,1,24,14.033963123790361
2642,26392,NonResidential,Other,Northeast,1912,1.0,2,25767,0,25767,Office,17434.0,Without,0.0,Without,0.0,22.0,284.7999878,1581352.75,0.0,1581352.0,0.0,Compliant,Not outlier,11.02,0.43,1,104,14.273791209583997
2643,26393,NonResidential,Retail Store,Northeast,1953,1.0,4,33910,0,33910,Retail Store,14585.0,Office,14462.0,Without,0.0,75.0,157.3000031,1822834.25,0.0,1270124.0,552710.0,Compliant,Not outlier,38.21,1.13,2,63,14.415903127969314
2644,26396,NonResidential,Worship Facility,Northeast,1927,1.0,2,78401,0,78401,Worship Facility,62400.0,Office,9940.0,Education,4960.0,,58.0,2462408.25,0.0,939974.0,1522434.0,Compliant,Not outlier,87.41,1.11,4,89,14.716650392451003
2654,26460,NonResidential,Warehouse,Lake union,1979,1.0,2,78716,0,78716,Warehouse,41275.0,Office,29399.0,Retail Store,6278.0,38.0,152.5,4103800.75,0.0,3680806.0,422994.0,Compliant,Not outlier,48.13,0.61,4,37,15.227424114459211
2655,26465,NonResidential,Education,Lake union,1910,1.0,2,33300,0,33300,Education,30740.0,Without,0.0,Without,0.0,92.0,77.30000305,1594733.625,0.0,335907.0,1258827.0,Compliant,Not outlier,69.2,2.08,1,106,14.28221727398439
2667,26528,NonResidential,Office,Northeast,1957,1.0,1,27966,7004,20962,Office,20962.0,Parking,7004.0,Without,0.0,58.0,164.8000031,1100499.75,0.0,1100500.0,0.0,Compliant,Not outlier,7.67,0.27,2,59,13.91127495277916
2680,26587,NonResidential,Office,Lake union,1998,1.0,3,37639,9999,27640,Office,20434.0,Laboratory,7557.0,Without,0.0,,695.2999878,6197824.5,0.0,6197824.0,0.0,Compliant,Not outlier,43.21,1.15,2,18,15.639708901343264
2682,26593,NonResidential,Office,Downtown,1900,1.0,4,22840,0,22840,Office,18400.0,Other,4440.0,Without,0.0,64.0,121.1999969,881386.1875,0.0,881386.0,0.0,Error - Correct Default Data,Not outlier,6.14,0.27,2,116,13.689251160175786
2683,26594,NonResidential,Other,Downtown,1900,1.0,1,21420,0,21420,Entertainment,10420.0,Restaurant/Bar,5000.0,Supermarket/Grocery Store,2000.0,,121.5999985,810636.875,0.0,722467.0,88170.0,Compliant,Not outlier,9.72,0.45,5,116,13.605575483135986
2684,26596,NonResidential,Office,Downtown,1900,1.0,1,20880,0,20880,Office,20880.0,Without,0.0,Without,0.0,94.0,102.8000031,683274.0,0.0,683274.0,0.0,Compliant,Not outlier,4.76,0.23,1,116,13.43465122940831
2686,26600,NonResidential,Mixed Use Property,Downtown,1966,1.0,3,26000,0,26000,Office,13000.0,Entertainment,13000.0,Without,0.0,,108.9000015,1063035.875,0.0,820061.0,242975.0,Compliant,Not outlier,18.62,0.72,2,50,13.87663940557869
2687,26601,NonResidential,Office,Downtown,1900,1.0,3,38675,0,38675,Office,12100.0,Restaurant/Bar,4281.0,Without,0.0,,287.6000061,1938776.75,0.0,1280095.0,658682.0,Compliant,Not outlier,43.91,1.14,2,116,14.477567790927669
2691,26611,NonResidential,Medical Office,Southeast,2010,1.0,2,25880,0,25880,Hospital/Residential Care Facility,25880.0,Without,0.0,Without,0.0,8.0,224.6000061,1941728.75,0.0,1805820.0,135908.0,Compliant,Not outlier,19.81,0.77,1,6,14.47908924248569
2695,26657,NonResidential,Worship Facility,Northeast,1927,1.0,3,41013,0,41013,Worship Facility,32098.0,Office,2310.0,Without,0.0,,59.29999924,1080821.0,0.0,432910.0,647911.0,Compliant,Not outlier,37.43,0.91,2,89,13.893231495491179
2697,26667,NonResidential,Other,Northeast,2004,1.0,2,21075,0,21075,Meeting Hall,18075.0,Office,3000.0,Without,0.0,,143.3999939,1581036.75,0.0,652060.0,928977.0,Compliant,Not outlier,53.88,2.56,2,12,14.273591360703238
2706,26695,NonResidential,Worship Facility,Northwest,1978,1.0,2,27500,0,27500,Worship Facility,27500.0,Without,0.0,Without,0.0,60.0,48.20000076,577123.125,0.0,343669.0,233454.0,Compliant,Not outlier,14.79,0.54,1,38,13.265810910941115
2707,26705,NonResidential,Office,Downtown,1930,1.0,2,36630,0,36630,Office,22000.0,Distribution Center,11000.0,Without,0.0,90.0,51.59999847,541943.3125,0.0,541943.0,0.0,Compliant,Not outlier,3.78,0.1,2,86,13.202916685468526
2708,26706,NonResidential,Office,Downtown,1900,1.0,3,26830,0,26830,Office,16838.0,Other,10000.0,Without,0.0,,167.5,2099386.75,0.0,1095970.0,1003417.0,Compliant,Not outlier,60.93,2.27,2,116,14.557155836236872
2709,26708,NonResidential,Office,Downtown,1906,1.0,5,41920,0,41920,Office,41920.0,Without,0.0,Without,0.0,95.0,82.69999695,1103594.75,0.0,1103595.0,0.0,Compliant,Not outlier,7.69,0.18,1,110,13.914083364155562
2711,26711,NonResidential,Other,Downtown,1904,1.0,6,29820,0,29820,Residence Hall,29820.0,Without,0.0,Without,0.0,,131.3999939,1601955.625,0.0,1069795.0,532160.0,Compliant,Not outlier,35.72,1.2,1,112,14.286735706476485
2715,26719,NonResidential,Office,Downtown,1905,1.0,2,33640,0,33640,Office,27322.0,Without,0.0,Without,0.0,70.0,124.0,1078535.75,0.0,1078536.0,0.0,Compliant,Not outlier,7.52,0.22,1,111,13.891114892152558
2716,26720,NonResidential,Warehouse,Downtown,1906,1.0,4,43484,0,43484,Warehouse,26416.0,Retail Store,9531.0,Office,7537.0,18.0,113.1999969,1567040.75,0.0,1567041.0,0.0,Compliant,Not outlier,10.92,0.25,3,110,14.264699526105328
2721,26728,NonResidential,Hotel,Downtown,1925,1.0,4,33018,0,33018,Hotel,23193.0,Retail Store,6165.0,Without,0.0,49.0,303.7999878,4857581.5,0.0,1827547.0,3030034.0,Compliant,Not outlier,173.67,5.26,2,91,15.396051238271056
2738,26761,NonResidential,Office,Lake union,2007,1.0,3,44510,18228,26282,Office,26282.0,Parking,18228.0,Without,0.0,23.0,261.3999939,2188051.25,0.0,2188051.0,0.0,Compliant,Not outlier,15.25,0.34,2,9,14.598521865467239
2739,26773,NonResidential,Worship Facility,North,1954,1.0,1,21624,0,21624,Worship Facility,21624.0,Without,0.0,Without,0.0,90.0,62.59999847,666687.5,0.0,313117.0,353571.0,Compliant,Not outlier,20.96,0.97,1,62,13.410076699367838
2744,26821,SPS-District K-12,Education,Northwest,1925,1.0,3,51360,0,51360,Education,51026.0,Without,0.0,Without,0.0,89.0,68.19999695,1403094.75,0.0,960186.0,442909.0,Error - Correct Default Data,Not outlier,30.22,0.59,1,91,14.154190890660313
2747,26833,NonResidential,Office,Downtown,1993,1.0,3,21600,0,21600,Office,11600.0,Restaurant/Bar,10000.0,Without,0.0,,178.3000031,1539176.625,0.0,1069041.0,470135.0,Compliant,Not outlier,32.42,1.5,2,23,14.246758172317765
2748,26834,NonResidential,Mixed Use Property,Downtown,1909,1.0,3,20620,0,20620,Multifamily Housing,10060.0,Retail Store,5280.0,Meeting Hall,5280.0,,79.59999847,747456.875,0.0,410059.0,337398.0,Compliant,Not outlier,20.78,1.01,3,107,13.524431890275022
2751,26838,NonResidential,Hotel,Downtown,1910,1.0,5,40552,0,40552,Hotel,40552.0,Without,0.0,Without,0.0,99.0,42.79999924,1200180.875,0.0,227435.0,972746.0,Compliant,Not outlier,53.25,1.31,1,106,13.997982832566397
2759,26847,NonResidential,Office,Downtown,1909,1.0,3,31432,0,31432,Office,23059.0,Other,7125.0,Multifamily Housing,1248.0,,143.8000031,1439572.375,0.0,1439572.0,0.0,Compliant,Not outlier,10.04,0.32,3,107,14.17985666564474
2767,26870,SPS-District K-12,Education,Lake union,2000,1.0,2,61052,0,61052,Education,61052.0,Without,0.0,Without,0.0,80.0,98.5,2366929.5,0.0,1688937.0,677992.0,Error - Correct Default Data,Not outlier,47.78,0.78,1,16,14.677104103515164
2770,26883,NonResidential,Other,Central,1908,1.0,3,25864,0,25864,Meeting Hall,13364.0,Office,8420.0,Without,0.0,,91.19999695,1028277.313,0.0,433559.0,594718.0,Compliant,Not outlier,34.61,1.34,2,108,13.84339544834626
2774,26905,NonResidential,Other,Northeast,1924,1.0,3,20686,0,20686,Residence Hall,20686.0,Without,0.0,Without,0.0,,108.1999969,1207504.0,0.0,464268.0,743236.0,Compliant,Not outlier,42.71,2.06,1,92,14.004065977132777
2775,26906,NonResidential,Residence Hall,Northeast,1929,1.0,3,22124,0,22124,Residence Hall,22124.0,Without,0.0,Without,0.0,82.0,90.5,637685.0,0.0,637685.0,0.0,Compliant,Not outlier,4.45,0.2,1,87,13.365599709994411
2778,26909,NonResidential,Residence Hall,Northeast,1926,1.0,3,27487,0,27487,Residence Hall,27487.0,Without,0.0,Without,0.0,82.0,91.80000305,1594504.875,0.0,406046.0,1188459.0,Compliant,Not outlier,65.95,2.4,1,90,14.282073822812336
2779,26911,NonResidential,Residence Hall,Northeast,1926,1.0,4,23616,0,23616,Residence Hall,23616.0,Without,0.0,Without,0.0,55.0,139.5,1656420.25,0.0,743927.0,912493.0,Compliant,Not outlier,53.65,2.27,1,90,14.320169355886717
2781,26922,NonResidential,Residence Hall,Northeast,1976,1.0,3,33448,0,33448,Residence Hall,33448.0,Without,0.0,Without,0.0,78.0,93.69999695,998633.5,0.0,998633.0,0.0,Compliant,Not outlier,6.96,0.21,1,40,13.81414312345171
2782,26924,Nonresidential COS,Mixed Use Property,East,2005,1.0,2,29508,7120,22388,Entertainment,11074.0,Sport center,8183.0,Parking,6569.0,,178.3000031,2217620.0,0.0,791940.0,1425680.0,Compliant,Not outlier,81.24,2.75,6,11,14.611945106696071
2783,26930,NonResidential,Senior Care Community,Central,1987,1.0,2,74840,0,74840,Senior Care Community,74840.0,Without,0.0,Without,0.0,48.0,230.8000031,8268496.5,0.0,4111042.0,4157454.0,Compliant,Not outlier,249.46,3.33,1,29,15.927963248779077
2785,26939,NonResidential,Education,Central,1925,1.0,2,22344,0,22344,Education,22344.0,Without,0.0,Without,0.0,40.0,123.5,1522596.75,0.0,555586.0,967011.0,Compliant,Not outlier,55.23,2.47,1,91,14.235927823345207
2789,26956,NonResidential,Education,East,1921,1.0,3,31900,0,31900,Education,26000.0,Without,0.0,Without,0.0,,160.1999969,2466100.0,0.0,753713.0,1712387.0,Compliant,Not outlier,96.2,3.02,1,95,14.718148513384643
2790,26961,Nonresidential COS,Other,Ballard,1950,1.0,2,29417,0,29417,Entertainment,18489.0,Sport center,8946.0,Education,1445.0,,103.9000015,1631479.125,0.0,658940.0,972539.0,Compliant,Not outlier,56.25,1.91,4,66,14.304997599959705
2795,26986,NonResidential,Supermarket/Grocery Store,Southwest,1997,1.0,1,31841,0,31841,Supermarket/Grocery Store,30899.0,Office,942.0,Without,0.0,,851.0999756,13140574.0,0.0,6365315.0,6775259.0,Compliant,Not outlier,404.21,12.69,2,19,16.391215253476084
2801,27007,NonResidential,Worship Facility,Northeast,1954,1.0,2,20039,0,20039,Worship Facility,20039.0,Without,0.0,Without,0.0,100.0,16.39999962,104722.2969,0.0,104722.0,0.0,Non-Compliant,Low outlier,0.73,0.04,1,62,11.559067334071278
2802,27008,SPS-District K-12,Education,Northeast,1928,1.0,2,54943,0,54943,Education,57247.0,Without,0.0,Without,0.0,94.0,63.79999924,2155390.25,0.0,665637.0,1489754.0,Error - Correct Default Data,Not outlier,83.76,1.52,1,88,14.583482355612322
2803,27013,NonResidential,Warehouse,Greater duwamish,1960,1.0,1,44476,0,44476,Warehouse,41256.0,Without,0.0,Without,0.0,33.0,82.0,1368120.5,0.0,931104.0,437016.0,Compliant,Not outlier,29.7,0.67,1,56,14.128948458080716
2805,27020,NonResidential,Residence Hall,Northeast,1950,1.0,3,29084,0,29084,Residence Hall,26000.0,Without,0.0,Without,0.0,66.0,111.0,1632498.625,0.0,560665.0,1071834.0,Compliant,Not outlier,60.83,2.09,1,66,14.305622297865906
2829,27117,NonResidential,Warehouse,Greater duwamish,1976,1.0,1,21040,0,21040,Warehouse,21040.0,Without,0.0,Without,0.0,43.0,56.09999847,592088.125,0.0,266815.0,325273.0,Compliant,Not outlier,19.14,0.91,1,40,13.29141076258492
2831,27131,NonResidential,Distribution Center,Greater duwamish,1974,1.0,1,25620,0,25620,Distribution Center,25620.0,Without,0.0,Without,0.0,82.0,38.0,550324.1875,0.0,189949.0,360375.0,Compliant,Not outlier,20.46,0.8,1,42,13.218262815380132
2832,27141,NonResidential,Warehouse,Downtown,1992,1.0,3,33238,0,33238,Warehouse,33238.0,Without,0.0,Without,0.0,14.0,154.1999969,1632472.0,0.0,1632472.0,0.0,Compliant,Not outlier,11.38,0.34,1,24,14.30560598837767
2833,27142,NonResidential,Education,East,1912,1.0,4,27800,0,27800,Education,11093.0,Without,0.0,Without,0.0,8.0,211.3999939,1181428.75,0.0,528460.0,652969.0,Compliant,Not outlier,38.36,1.38,1,104,13.98223506909328
2839,27162,NonResidential,Supermarket/Grocery Store,Southwest,1998,1.0,1,33706,0,33706,Supermarket/Grocery Store,31746.0,Without,0.0,Without,0.0,22.0,651.2999878,8687690.0,0.0,5528496.0,3159194.0,Compliant,Not outlier,206.33,6.12,1,18,15.977417639119626
2841,27184,NonResidential,Mixed Use Property,Magnolia / queen anne,1961,1.0,2,37600,0,37600,Warehouse,18400.0,Other,16200.0,Office,3000.0,,86.90000153,2171751.5,0.0,472249.0,1699502.0,Compliant,Not outlier,93.55,2.49,3,55,14.591044542809163
2851,27205,SPS-District K-12,Education,Northwest,1954,1.0,1,42128,0,42128,Education,42128.0,Without,0.0,Without,0.0,93.0,86.90000153,1709307.5,0.0,893537.0,815770.0,Compliant,Not outlier,49.55,1.18,1,62,14.351598875695805
2857,27231,SPS-District K-12,Education,Ballard,1932,1.0,2,44753,0,44753,Education,46545.0,Without,0.0,Without,0.0,96.0,62.09999847,1638691.625,0.0,558868.0,1079824.0,Error - Correct Default Data,Not outlier,61.25,1.37,1,84,14.309408691762727
2862,27244,NonResidential,Other,East,1912,1.0,3,33708,0,33708,Other,33708.0,Without,0.0,Without,0.0,,60.40000153,786324.0,166488.4063,567086.0,52750.0,Compliant,Not outlier,19.61,0.58,1,104,13.575124200215058
2881,27303,NonResidential,Other,North,1948,1.0,2,47237,0,47237,Other,47661.0,Without,0.0,Without,0.0,,394.1000061,5981430.0,0.0,5981430.0,0.0,Compliant,Not outlier,41.7,0.88,1,68,15.604170227774471
2896,27378,NonResidential,Supermarket/Grocery Store,Northeast,1997,1.0,1,76585,38585,38000,Supermarket/Grocery Store,41447.0,Parking,0.0,Without,0.0,18.0,761.2999878,13906080.0,0.0,8112028.0,5794050.0,Compliant,Not outlier,364.27,4.76,2,19,16.447836712536965
2897,27381,NonResidential,Worship Facility,Northeast,1938,1.0,3,26373,0,26373,Worship Facility,26373.0,Without,0.0,Without,0.0,75.0,60.79999924,964236.0,0.0,282478.0,681758.0,Compliant,Not outlier,38.18,1.45,1,78,13.779091356908811
2901,27389,NonResidential,Office,Central,1956,6.0,2,75868,0,75868,Office,50379.0,Restaurant/Bar,12622.0,Retail Store,6662.0,,149.1999969,3605749.75,0.0,3605750.0,0.0,Compliant,Not outlier,25.14,0.33,4,60,15.09804028211205
2904,27406,NonResidential,Mixed Use Property,East,1947,1.0,2,21656,0,21656,Entertainment,5656.0,Public service,5561.0,Restaurant/Bar,5090.0,,148.1000061,1607972.25,0.0,726238.0,881734.0,Compliant,Not outlier,51.89,2.4,5,69,14.290484471109451
2912,27455,Nonresidential COS,Distribution Center,Magnolia / queen anne,1921,1.0,3,23040,0,23040,Distribution Center,23040.0,Without,0.0,Without,0.0,,57.40000153,421430.0,0.0,421430.0,0.0,Compliant,Not outlier,2.94,0.13,1,95,12.951408969085453
2913,27456,NonResidential,Other,Magnolia / queen anne,1956,1.0,2,36771,0,36771,Other,34856.0,Without,0.0,Without,0.0,,490.7000122,5447076.5,0.0,5447076.0,0.0,Compliant,Not outlier,37.97,1.03,1,60,15.510589600695315
2916,27482,NonResidential,Warehouse,Greater duwamish,1977,1.0,1,24024,0,24024,Warehouse,14314.0,Other,9710.0,Without,0.0,,49.09999847,375773.5938,0.0,375773.0,0.0,Compliant,Not outlier,2.62,0.11,2,39,12.8367420968615
2917,27488,NonResidential,Warehouse,Greater duwamish,1953,1.0,1,42420,0,42420,Warehouse,27420.0,Other,10000.0,Office,5000.0,34.0,47.29999924,965425.1875,0.0,474320.0,491105.0,Compliant,Not outlier,29.39,0.69,3,63,13.780323892089855
2918,27494,NonResidential,Distribution Center,Greater duwamish,1979,1.0,1,36982,0,36982,Distribution Center,34382.0,Office,2600.0,Without,0.0,,26.60000038,374753.8125,0.0,282354.0,92400.0,Compliant,Not outlier,6.88,0.19,2,37,12.83402458936206
2926,27553,NonResidential,Warehouse,Greater duwamish,1972,1.0,1,23232,0,23232,Warehouse,23232.0,Without,0.0,Without,0.0,,17.20000076,127374.0,0.0,127374.0,0.0,Compliant,Not outlier,0.89,0.04,1,44,11.754882919660057
2927,27554,NonResidential,Warehouse,Greater duwamish,1974,1.0,1,35046,0,35046,Warehouse,32546.0,Without,0.0,Without,0.0,100.0,88.30000305,1063269.125,0.0,841364.0,221905.0,Compliant,Not outlier,17.65,0.5,1,42,13.87685880025719
2928,27561,NonResidential,Warehouse,Greater duwamish,1961,1.0,1,25577,0,25577,Warehouse,13349.0,Warehouse,8228.0,Office,4000.0,,95.90000153,895784.6875,0.0,723667.0,172117.0,Compliant,Not outlier,14.19,0.55,3,55,13.705455358949939
2929,27562,NonResidential,Warehouse,Greater duwamish,1974,1.0,1,43380,0,43380,Warehouse,42844.0,Without,0.0,Without,0.0,89.0,29.70000076,405062.0,0.0,405062.0,0.0,Compliant,Not outlier,2.82,0.07,1,42,12.911795420791899
2930,27567,NonResidential,Office,Lake union,1995,1.0,3,20410,0,20410,Office,20410.0,Without,0.0,Without,0.0,8.0,287.7999878,2720238.25,0.0,1444160.0,1276078.0,Compliant,Not outlier,77.84,3.81,1,21,14.816230026347997
2938,27587,NonResidential,Office,Northwest,1983,1.0,3,24696,6300,18396,Office,18396.0,Parking,6300.0,Without,0.0,87.0,106.5,624125.625,0.0,624125.0,0.0,Compliant,Not outlier,4.35,0.18,2,33,13.344106949204372
2944,27597,SPS-District K-12,Education,Northwest,1956,1.0,1,45174,0,45174,Education,45174.0,Without,0.0,Without,0.0,84.0,82.5,1980825.25,0.0,786971.0,1193854.0,Error - Correct Default Data,Not outlier,68.89,1.52,1,60,14.499024108765965
2945,27598,NonResidential,Worship Facility,Northwest,2002,1.0,1,24955,0,24955,Worship Facility,24955.0,Without,0.0,Without,0.0,47.0,55.79999924,689803.0,0.0,320006.0,369797.0,Compliant,Not outlier,21.87,0.88,1,14,13.444161328562112
2962,27668,NonResidential,Other,Central,1991,1.0,3,34074,0,34074,Hospital/Residential Care Facility,34074.0,Without,0.0,Without,0.0,,483.7000122,8521989.0,0.0,3603789.0,4918200.0,Compliant,Not outlier,286.33,8.4,1,25,15.958160322264348
2963,27673,NonResidential,Hotel,Downtown,2006,1.0,10,392552,22225,370327,Hotel,198400.0,Parking,52400.0,Without,0.0,23.0,207.3999939,17457560.0,0.0,10914911.0,6542646.0,Compliant,Not outlier,423.57,1.08,2,10,16.675283350614652
2981,27703,NonResidential,Worship Facility,North,1961,1.0,2,76475,0,76475,Worship Facility,45442.0,Education,31033.0,Without,0.0,,39.90000153,1765813.625,0.0,573241.0,1192573.0,Compliant,Not outlier,67.33,0.88,2,55,14.384122119469234
2982,27704,NonResidential,Education,North,1988,1.0,2,32961,0,32961,Education,32961.0,Without,0.0,Without,0.0,86.0,78.40000153,1573155.0,0.0,446659.0,1126496.0,Compliant,Not outlier,62.94,1.91,1,28,14.268593715011693
2985,27721,Nonresidential COS,Other,Northwest,2004,1.0,1,27376,14570,12806,Public service,12806.0,Parking,0.0,Without,0.0,,197.8999939,1082920.125,0.0,668530.0,414390.0,Compliant,Not outlier,26.67,0.97,2,12,13.895171769800603
2993,27799,Campus,Education,Central,1950,1.0,1,109794,0,109794,Education,109794.0,Without,0.0,Without,0.0,87.0,56.20000076,3296526.25,0.0,1294767.0,2001759.0,Compliant,Not outlier,115.34,1.05,1,66,15.008379820494838
